Country,Fertility Rate (2022),Education Index,GDP IMF,GDP World Bank,GDP United Nations,Average GDP,Population,Working Age Population [15-64] (%),M/F Ratio [15-24],M/F Ratio [25-54],Emergency Contraception [OTC]
Niger,6.6,0.214,613,591,591,598,24112753,46.74 ,0.97,0.93,Y
Mali,5.5,0.293,889,874,875,879,22594000,49.29 ,0.91,0.85,Y
Chad,5.4,0.298,667,686,955,769,16818391,50.14 ,1.01,0.93,Y
Angola,5.2,0.498,3204,1954,2258,2472,33086278,50.13 ,0.95,0.91,N
Burundi,5.1,0.424,249,222,311,261,12574571,53.11 ,1.00,0.98,Y
Nigeria,5.1,0.483,2280,2066,2019,2122,218541000,55 ,1.03,1.00,Y
Burkina Faso,4.9,0.286,900,893,893,895,22185654,53.26 ,1.01,0.87,Y
Tanzania,4.7,0.441,1348,1099,1136,1194,61741120,54.22 ,1.01,1.01,N
Mozambique,4.6,0.385,587,492,492,524,32419747,51.5 ,1.00,0.87,Y
Benin,4.6,0.471,1390,1319,1361,1357,12506347,52.05 ,0.99,0.90,Y
Central African Republic,4.4,0.341,534,461,461,485,5633412,57.16 ,1.01,1.00,N
Ivory Coast,4.4,0.424,2646,2549,2539,2578,29389150,58.62 ,1.00,1.03,Y
Zambia,4.4,0.580,1423,1137,1095,1218,19610769,51.99 ,1.00,1.01,Y
Senegal,4.4,0.368,1719,1637,1637,1664,17223497,56.52 ,0.99,0.86,N
Mauritania,4.3,0.389,2475,2166,2166,2269,4271197,58.52 ,0.96,0.87,Y
Cameroon,4.3,0.547,1699,1667,1668,1678,24348251,54.55 ,1.01,0.97,Y
Comoros,4.0,0.473,1360,1578,1631,1523,758316,59.24 ,0.94,0.90,N
Afghanistan,3.9,0.415,611,369,373,451,32890171,56.7 ,1.03,1.03,N
Sierra Leone,3.9,0.390,415,480,505,467,8494260,54.92 ,0.96,0.92,N
Ethiopia,3.9,0.327,1475,925,825,1075,105163988,56.81 ,1.00,0.99,Y
Malawi,3.9,0.451,496,635,613,581,21507723,51.45 ,0.98,0.99,Y
Madagascar,3.9,0.498,536,501,500,512,26923353,57.67 ,1.01,1.00,Y
Rwanda,3.8,0.450,970,822,822,871,13246394,57.4 ,1.01,0.91,N
Gabon,3.8,0.628,9294,8635,7911,8613,2233272,59.57 ,1.09,1.15,Y
Ghana,3.7,0.558,2024,2363,2409,2265,30832019,58.12 ,0.99,0.94,Y
Vanuatu,3.6,0.529,3188,2997,3073,3086,301295,61.96 ,0.98,0.95,Y
